,Response,Value
122,ooxxxxx,1.329
123,oooxxxxx,1.465
124,ooooxxxxx,1.496
125,xxoxxo,0.861
126,xxxoxxo,0.86
127,xxxxoxxo,0.86
128,xoxox,-0.701
129,xxoxox,-0.737
130,xxxoxox,-0.741
131,xxxxoxox,0.741
132,xoxoo,-0.084
133,xxoxoo,-0.169
134,xxxoxoo,-0.181
135,xxxxoxoo,-0.182
136,xooxx,-0.305
137,xxooxx,-0.372
138,xxxooxx,-0.38
139,xxxxooxx,-0.381
140,xooxo,0.305
141,xxooxo,0.169
142,xxxooxo,0.144
143,xxxxooxo,0.142
144,xooox,-1.288
145,xxooox,-1.5
146,xxxooox,-1.544
147,xxxxooox,-1.549
148,xoooo,-0.555
149,xxoooo,-0.897
150,xxxoooo,-0.985
151,xxxxoooo,-1
152,xoxxxx,0.547
153,xxoxxxx,0.547
154,xo,0.5
155,xxo,0.388
156,xxxo,0.378
157,xxxxo,0.377
158,xox,-0.842
159,xxox,-0.89
160,xxxox,-0.894
161,xxxxox,-0.894
162,xoo,0.178
163,xxoo,0
164,xxxoo,-0.026
165,xxxxoo,-0.028
166,xoxx,-0.299
167,xxoxx,-0.314
168,xxxoxx,-0.315
169,xxxxoxx,-0.315
170,xoxo,0.5
171,xxoxo,0.439
172,xxxoxo,0.432
173,xxxxoxo,0.432
174,xoox,-1
175,xxoox,-1.122
176,xxxoox,-1.139
177,xxxxoox,-1.14
178,xooo,-0.194
179,xxooo,-0.449
180,xxxooo,-0.5
181,xxxxooo,-0.506
182,xoxxx,0.157
183,xxoxxx,0.154
184,xxxoxxx,0.154
185,xxxxoxxx,0.154
186,xoxxo,0.878
187,xxxoxxxx,0.547
188,xxxxoxxxx,0.547
189,xoxxxo,1.25
190,xxoxxxo,1.247
191,xxxoxxxo,1.246
192,xxxxoxxxo,1.246
193,xoxxox,-0.372
194,xxoxxox,-0.38
195,xxxoxxox,-0.381
196,xxxxoxxox,-0.381
197,xoxxoo,0.169
198,xxoxxoo,0.144
199,xxxoxxoo,0.142
200,xxxxoxxoo,0.142
201,xoxoxx,-0.022
202,xxoxoxx,-0.039
203,xxxoxoxx,-0.04
204,xxxxoxoxx,-0.04
205,xoxoxo,0.5
206,xxoxoxo,0.458
207,xxxoxoxo,0.453
208,xxxxoxoxo,0.453
209,xoxoox,-1.169
210,xxoxoox,-1.237
211,xxxoxoox,-1.247
212,xxxxoxoox,-1.248
213,xoxooo,-0.611
214,xxoxooo,-0.732
215,xxxoxooo,-0.756
216,xxxxoxooo,-0.758
217,xooxxx,0.296
218,xxooxxx,0.266
219,xxxooxxx,0.263
220,xxxxooxxx,0.263
221,xooxxo,0.831
222,xxooxxo,0.763
223,xxxooxxo,0.753
224,xxxxooxxo,0.752
225,xooxox,-0.831
226,xxooxox,-0.935
227,xxxooxox,-0.952
228,xxxxooxox,-0.954
229,xooxoo,-0.296
230,xxooxoo,-0.463
231,xxxooxoo,-0.5
232,xxxxooxoo,-0.504
233,xoooxx,-0.5
234,xxoooxx,-0.648
235,xxxoooxx,-0.678
236,xxxxoooxx,-0.681
237,xoooxo,0.043
238,xxoooxo,-0.187
239,xxxoooxo,-0.244
240,xxxxoooxo,-0.252
241,xoooox,-1.603
242,xxoooox,-1.917
243,xxxoooox,-2
244,xxxxoooox,-2.014
245,xooooo,-0.983
246,xxooooo,-1.329
247,xxxooooo,-1.465
248,xxxxooooo,-1.496
249,ooooo,1
250,xxxx,-1
